Prime,Old_Accuracy,New_Accuracy,Old_Confidence,New_Confidence,Old_Energy,New_Energy
5,0.8920024134878431,0.9147659538426901,0.7413458249732592,0.9141831092731614,0.00011135650393343297,6.33257587425233e-05
7,0.8506782383360504,0.9002359240831261,0.6519194348624925,0.9376951127171652,0.0003282652263130823,0.00024327230463556121
11,0.8194351425170958,0.9491226349008131,0.7468723016014617,0.9002212848994026,0.001933644256758076,0.001483445595771222
13,0.7622983480022937,0.9067357071039486,0.8220041730258707,0.9453723390725098,0.00490675374169179,0.0028938401692803315
17,0.7361465901620873,0.9153986870087093,0.7895398494137801,0.8862418330974202,0.010340432245880823,0.008462475760508016
19,0.6936681574571386,0.9271385558415464,0.8789098788366623,0.9494352309093335,0.013735490130617553,0.013204334812247769
23,0.6861036123348458,0.902582086815092,0.7152337510180908,0.8733583489833301,0.03577045413976636,0.02835399996240984
29,0.7263732133194092,0.9001788210581924,0.7465142813503626,0.8625971235155501,0.08460162297551842,0.07166326431899805
31,0.8667783160228493,0.9074983382650601,0.8488320322935266,0.9457371178902266,0.12562459397030193,0.09357330876989463
37,0.8414737766054409,0.900374122043991,0.6469382356612796,0.9382707025972672,0.2125147185358596,0.18989529195853241
41,0.8438410438072896,0.9261481939306302,0.7626698386474149,0.8506330361238087,0.2316572685002301,0.2863151457757234
43,0.8177670000250373,0.9019896856393014,0.8746485925640851,0.9277556650760314,0.1709268026172102,0.3464045397402137
47,0.8265129449865005,0.9303050315655148,0.7951397235794866,0.8503832265424536,0.3055464805624196,0.494427955528703
